
> chathistory@0.1.0 dev
> PORT=3002 next dev --turbopack

   ▲ Next.js 15.1.2 (Turbopack)
   - Local:        http://localhost:3002
   - Network:      http://51.38.123.53:3002

 ✓ Starting...
 ✓ Ready in 855ms
 ○ Compiling / ...
 ✓ Compiled / in 2.6s
 GET /api/twitch/user/okayyfiona 200 in 904ms
 GET /api/twitch/user/okayyfiona 200 in 906ms
 GET /api/twitch/user/2coyi 200 in 901ms
 GET /api/twitch/user/2coyi 200 in 898ms
 GET /api/twitch/user/okayyfiona 200 in 883ms
 GET /api/twitch/badges/global 200 in 901ms
 GET /api/twitch/badges/global 200 in 901ms
 GET /api/twitch/user/okayyfiona 200 in 919ms
 GET /api/twitch/user/2coyi 200 in 908ms
 GET /api/twitch/badges/global 200 in 920ms
 GET /api/twitch/badges/global 200 in 893ms
 GET /api/twitch/user/2coyi 200 in 896ms
 GET /api/twitch/badges/global 200 in 907ms
 GET /api/twitch/badges/global 200 in 916ms
 GET /api/twitch/user/2coyi 200 in 925ms
 GET /api/twitch/user/okayyfiona 200 in 909ms
 GET /api/twitch/badges/global 200 in 892ms
 GET /api/twitch/user/2coyi 200 in 895ms
 GET /api/twitch/user/okayyfiona 200 in 908ms
 GET /api/twitch/badges/global 200 in 910ms
 GET /api/twitch/user/2coyi 200 in 913ms
 GET /api/twitch/badges/global 200 in 904ms
 GET /api/twitch/badges/global 200 in 913ms
 GET /api/twitch/badges/global 200 in 919ms
 GET /api/twitch/user/okayyfiona 200 in 914ms
 GET /api/twitch/user/2coyi 200 in 925ms
 GET /api/twitch/user/2coyi 200 in 900ms
 GET /api/twitch/badges/global 200 in 904ms
 GET /api/twitch/badges/global 200 in 909ms
 GET /api/twitch/badges/global 200 in 922ms
 GET /api/twitch/user/okayyfiona 200 in 925ms
 GET /api/twitch/badges/global 200 in 916ms
 GET /api/twitch/user/2coyi 200 in 925ms
 GET /api/twitch/badges/global 200 in 927ms
 GET /api/twitch/user/okayyfiona 200 in 929ms
 GET /api/twitch/user/2coyi 200 in 930ms
 GET /api/twitch/user/2coyi 200 in 923ms
 GET /api/twitch/badges/global 200 in 701ms
 GET /api/twitch/badges/global 200 in 495ms
 GET /api/twitch/badges/global 200 in 502ms
 GET /api/twitch/user/2coyi 200 in 474ms
 GET /api/twitch/badges/global 200 in 522ms
 GET /api/twitch/badges/global 200 in 525ms
 GET /api/twitch/user/2coyi 200 in 487ms
 GET /api/twitch/user/okayyfiona 200 in 488ms
 GET /api/twitch/user/okayyfiona 200 in 489ms
 GET /api/twitch/user/2coyi 200 in 493ms
 GET /api/twitch/badges/global 200 in 496ms
 GET /api/twitch/user/okayyfiona 200 in 452ms
 GET /api/twitch/badges/global 200 in 487ms
 GET /api/twitch/user/okayyfiona 200 in 463ms
 GET /api/twitch/user/2coyi 200 in 452ms
 GET /api/twitch/badges/global 200 in 451ms
 GET /api/twitch/badges/global 200 in 447ms
 GET /api/twitch/badges/global 200 in 422ms
 GET /api/twitch/user/okayyfiona 200 in 433ms
 GET /api/twitch/badges/global 200 in 438ms
 GET /api/twitch/user/2coyi 200 in 426ms
 GET /api/twitch/user/2coyi 200 in 432ms
 GET /api/twitch/user/stimmungschaos__ 200 in 434ms
 GET /api/twitch/badges/global 200 in 418ms
 GET /api/twitch/user/okayyfiona 200 in 388ms
 GET /api/twitch/badges/global 200 in 333ms
 GET /api/twitch/badges/global 200 in 344ms
 GET /api/twitch/badges/global 200 in 345ms
 GET /api/twitch/badges/global 200 in 356ms
 GET /api/twitch/badges/global 200 in 352ms
 GET /api/twitch/badges/global 200 in 359ms
 GET /api/twitch/user/okayyfiona 200 in 348ms
 GET /api/twitch/user/2coyi 200 in 346ms
 GET /api/twitch/badges/global 200 in 365ms
 GET /api/twitch/badges/global 200 in 370ms
 GET /api/twitch/user/okayyfiona 200 in 359ms
 GET /api/twitch/user/2coyi 200 in 358ms
 GET /api/twitch/user/2coyi 200 in 362ms
 GET /api/twitch/user/2coyi 200 in 366ms
 GET /api/twitch/user/2coyi 200 in 366ms
 GET /api/twitch/user/okayyfiona 200 in 371ms
 GET /api/twitch/badges/global 200 in 260ms
 GET /api/twitch/badges/global 200 in 266ms
 GET /api/twitch/badges/global 200 in 271ms
 GET /api/twitch/badges/global 200 in 278ms
 GET /api/twitch/user/2coyi 200 in 273ms
 GET /api/twitch/badges/global 200 in 286ms
 GET /api/twitch/user/okayyfiona 200 in 279ms
 GET /api/twitch/badges/global 200 in 292ms
 GET /api/twitch/user/2coyi 200 in 282ms
 GET /api/twitch/user/okayyfiona 200 in 297ms
 GET /api/twitch/user/2coyi 200 in 299ms
 GET /api/twitch/user/okayyfiona 200 in 299ms
 GET /api/twitch/user/2coyi 200 in 307ms
 GET /api/twitch/badges/global 200 in 298ms
 GET /api/twitch/user/2coyi 200 in 295ms
 GET /api/twitch/badges/global 200 in 302ms
 GET /api/twitch/badges/global 200 in 306ms
 GET /api/twitch/badges/global 200 in 310ms
 GET /api/twitch/badges/global 200 in 313ms
 GET /api/twitch/user/okayyfiona 200 in 311ms
 GET /api/twitch/user/stimmungschaos__ 200 in 313ms
 GET /api/twitch/user/2coyi 200 in 316ms
 GET /api/twitch/badges/global 200 in 272ms
 GET /api/twitch/badges/global 200 in 277ms
 GET /api/twitch/user/pradasocken 200 in 279ms
 GET /api/twitch/user/okayyfiona 200 in 279ms
 GET /api/twitch/badges/global 200 in 287ms
 GET /api/twitch/badges/global 200 in 293ms
 GET /api/twitch/user/2coyi 200 in 300ms
 GET /api/twitch/user/2coyi 200 in 307ms
 GET /api/twitch/user/pradasocken 200 in 308ms
 GET /api/twitch/badges/global 200 in 301ms
 GET /api/twitch/badges/global 200 in 305ms
 GET /api/twitch/badges/global 200 in 310ms
 GET /api/twitch/badges/global 200 in 312ms
 GET /api/twitch/badges/global 200 in 317ms
 GET /api/twitch/badges/global 200 in 320ms
 GET /api/twitch/badges/global 200 in 334ms
 GET /api/twitch/badges/global 200 in 333ms
 GET /api/twitch/user/pradasocken 200 in 334ms
 GET /api/twitch/user/2coyi 200 in 333ms
 GET /api/twitch/user/okayyfiona 200 in 343ms
 GET /api/twitch/user/okayyfiona 200 in 344ms
 GET /api/twitch/user/okayyfiona 200 in 345ms
 GET /api/twitch/user/2coyi 200 in 349ms
 GET /api/twitch/user/okayyfiona 200 in 355ms
 GET /api/twitch/badges/global 200 in 352ms
 GET /api/twitch/badges/global 200 in 358ms
 GET /api/twitch/badges/global 200 in 364ms
 GET /api/twitch/badges/global 200 in 365ms
 GET /api/twitch/badges/global 200 in 366ms
 GET /api/twitch/badges/global 200 in 378ms
 GET /api/twitch/badges/global 200 in 374ms
 GET /api/twitch/badges/global 200 in 379ms
 GET /api/twitch/user/2coyi 200 in 393ms
 GET /api/twitch/badges/global 200 in 400ms
 GET /api/twitch/badges/global 200 in 401ms
 GET /api/twitch/user/okayyfiona 200 in 409ms
 GET /api/twitch/user/2coyi 200 in 410ms
 GET /api/twitch/badges/global 200 in 416ms
 GET /api/twitch/badges/global 200 in 423ms
 GET /api/twitch/user/pradasocken 200 in 417ms
 GET /api/twitch/user/okayyfiona 200 in 421ms
 GET /api/twitch/user/2coyi 200 in 426ms
 GET /api/twitch/user/2coyi 200 in 425ms
 GET /api/twitch/user/2coyi 200 in 423ms
 GET /api/twitch/user/okayyfiona 200 in 432ms
 GET /api/twitch/user/pradasocken 200 in 433ms
 GET /api/twitch/user/pradasocken 200 in 430ms
 GET /api/twitch/badges/global 200 in 467ms
 GET /api/twitch/badges/global 200 in 476ms
 GET /api/twitch/badges/global 200 in 481ms
 GET /api/twitch/badges/global 200 in 484ms
 GET /api/twitch/user/2coyi 200 in 485ms
 GET /api/twitch/badges/global 200 in 493ms
 GET /api/twitch/user/okayyfiona 200 in 492ms
 GET /api/twitch/user/okayyfiona 200 in 495ms
 GET /api/twitch/user/okayyfiona 200 in 508ms
 GET /api/twitch/badges/global 200 in 470ms
 GET /api/twitch/badges/global 200 in 483ms
 GET /api/twitch/badges/global 200 in 476ms
 GET /api/twitch/badges/global 200 in 485ms
 GET /api/twitch/badges/global 200 in 488ms
 GET /api/twitch/badges/global 200 in 492ms
 GET /api/twitch/badges/global 200 in 499ms
 GET /api/twitch/badges/global 200 in 491ms
 GET /api/twitch/badges/global 200 in 499ms
 GET /api/twitch/user/okayyfiona 200 in 500ms
 GET /api/twitch/badges/global 200 in 516ms
 GET /api/twitch/badges/global 200 in 516ms
 GET /api/twitch/user/rxndxm_person_ 200 in 510ms
 GET /api/twitch/badges/global 200 in 530ms
 GET /api/twitch/user/okayyfiona 200 in 517ms
 GET /api/twitch/badges/global 200 in 532ms
 GET /api/twitch/badges/global 200 in 530ms
 GET /api/twitch/badges/global 200 in 534ms
 GET /api/twitch/badges/global 200 in 539ms
 GET /api/twitch/user/okayyfiona 200 in 531ms
 GET /api/twitch/user/rxndxm_person_ 200 in 529ms
